sfh.sfr,stellar.m_star
1.0259145828480846e-15,3.941625632766236e-07
1.7899421258993375e-16,4.236539968154951e-07
8.327531175002983e-16,8.124776914947482e-07
1.8251576427538413e-16,3.4618189635195542e-06
1.0366848538426667e-15,6.125745341493908e-07
5.067997910547256e-16,2.1053231790172484e-07
3.515511759036442e-16,2.1972610106793775e-07
3.6289981925902105e-16,2.0538595333719953e-07
3.1007234525277665e-15,1.9907142118442316e-06
5.66233351916561e-16,1.3168483213161746e-07
3.378430272375227e-15,1.1096568562069002e-06
1.296929808102632e-15,2.598440111649777e-07
3.5241385996530163e-15,1.895026371426702e-06
1.2130307632483862e-16,9.240180642524728e-07
8.576491469354749e-16,4.0938137693397235e-07
