tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters
2997.2524550542244,1140.0312081741304,9979.91529380627,0.0001686144284611668,29.5492272180781,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2705.8037350738255,9695.797539304573,864.97394729191,0.08909953785314735,10.898149398812265,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2531.98600960882,7601.705345933101,4645.655300816883,0.09174889225404055,25.41166971313129,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.803403599244,9994.21042880965,314.8897942636304,0.06183588385362204,51.50565375403454,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2616.1716934986684,6498.576510941054,5844.497513654217,0.17481358681292353,30.251509931443508,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2987.106934534609,6131.216364101304,9868.083386079652,0.004716896736990495,19.76226377366254,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2394.8989231295973,2859.496016189574,101.47506447640626,0.005009282105653962,99.7495550330486,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2997.2394642773907,9778.182396227088,2262.349529978669,0.027183709886913265,81.9813176813731,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2463.3984966742864,9872.355371003052,6318.198547683995,0.19745286672159917,89.3425491923472,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2998.160966770558,9954.773774964176,152.21464420990196,0.1850747577723957,10.0000292759742,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2150.8576045078153,7421.648420880094,7769.387022419588,0.01570091857816397,74.74080713119093,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2524.8095040689454,1001.7311466618012,2928.494561824371,0.0028319642852102367,80.97970571173823,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2659.432039945437,1130.5670940530927,6417.93850116954,8.33321157970579e-05,14.526480548525626,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2927.650299287964,4746.13330996548,177.49115370077925,0.020081379647578557,99.0438787122646,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
